Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",3809.4,3709.5,3814.3,3664.4,469.11K,2.69%
"Jan 02, 2019",3873.8,3809.7,3894.8,3768.1,554.47K,1.69%
"Jan 03, 2019",3780.1,3874.1,3875.8,3753,450.32K,-2.42%
"Jan 04, 2019",3802.7,3780.5,3823.9,3720,488.70K,0.60%
"Jan 05, 2019",3785.4,3802.8,3846.7,3769,468.45K,-0.46%
"Jan 06, 2019",4004.1,3785.7,4034.1,3758.5,529.89K,5.78%
"Jan 07, 2019",3985.9,4004.3,4028,3945.5,500.88K,-0.45%
"Jan 08, 2019",3971,3985.8,4070.5,3943.1,514.08K,-0.37%
"Jan 09, 2019",3978,3971,4014.2,3957.5,473.42K,0.17%
"Jan 10, 2019",3603.7,3978.9,4007.7,3562.1,697.31K,-9.41%
"Jan 11, 2019",3616.5,3603.3,3655.7,3563.1,551.64K,0.35%
"Jan 12, 2019",3597.2,3616.6,3633.9,3561.3,435.06K,-0.53%
"Jan 13, 2019",3490.2,3597.3,3617.6,3473.2,452.79K,-2.98%
"Jan 14, 2019",3638.1,3490.4,3672,3490.4,539.93K,4.24%
"Jan 15, 2019",3571.3,3637.5,3660.8,3545.7,544.85K,-1.84%
"Jan 16, 2019",3588,3570.6,3644.1,3561.4,487.34K,0.47%
"Jan 17, 2019",3626.4,3588.1,3636.7,3554.8,525.10K,1.07%
"Jan 18, 2019",3605.6,3626.3,3627.9,3575.7,488.16K,-0.57%
"Jan 19, 2019",3677.8,3605.8,3715.2,3604.1,537.06K,2.00%
"Jan 20, 2019",3542.3,3676.2,3699.1,3503.9,563.31K,-3.68%
"Jan 21, 2019",3536.7,3542.7,3561.4,3505.4,394.17K,-0.16%
"Jan 22, 2019",3580.1,3536.9,3607.9,3465.2,447.70K,1.23%
"Jan 23, 2019",3561.5,3580.1,3608.3,3532.8,445.87K,-0.52%
"Jan 24, 2019",3574.3,3561.4,3587,3539.7,428.60K,0.36%
"Jan 25, 2019",3572,3574.3,3582.6,3542.2,448.89K,-0.06%
"Jan 26, 2019",3570.9,3572,3652.5,3556.1,432.55K,-0.03%
"Jan 27, 2019",3555.6,3570.9,3583.2,3509.2,464.02K,-0.43%
"Jan 28, 2019",3442.8,3555.8,3561.2,3395.7,620.85K,-3.17%
"Jan 29, 2019",3414.8,3442.8,3450.1,3368.2,585.46K,-0.81%
"Jan 30, 2019",3460,3414.6,3479,3394.2,600.25K,1.32%
